Order_ID,Order_Date,Day_of_Week,Month,Customer_ID,Menu_Item,Category,Quantity_Sold,Unit_Price,Total_Sales,Inventory_Stock,Inventory_Used,Food_Waste,Customer_Rating,Review,Sentiment,Payment_Method,Branch
1,2025-11-24,Monday,11,1754,Pizza,Fast Food,1,550,550,14,1,13,2,Very tasty and fresh,Positive,Cash,Banani
2,2025-01-17,Friday,1,1027,Burger,Fast Food,2,250,500,13,2,11,3,Amazing quality,Positive,Nagad,Uttara
3,2025-08-18,Monday,8,1714,Ice Cream,Dessert,5,120,600,10,5,5,5,It was okay,Neutral,Bkash,Mirpur
4,2025-03-21,Friday,3,1367,Fried Rice,Main Course,6,280,1680,14,6,8,4,Excellent food and fast service,Positive,Bkash,Dhanmondi
5,2025-08-24,Sunday,8,1849,Noodles,Main Course,2,260,520,19,2,17,4,Loved the food,Positive,Card,Dhanmondi
6,2025-01-24,Friday,1,1389,Fried Rice,Main Course,5,280,1400,12,5,7,4,Food was cold,Negative,Nagad,Mirpur
7,2025-03-25,Tuesday,3,1623,Coffee,Beverage,6,180,1080,17,6,11,3,Average taste,Neutral,Card,Uttara
8,2025-08-25,Monday,8,1234,Juice,Beverage,5,150,750,17,5,12,2,Average taste,Neutral,Bkash,Banani
9,2025-05-18,Sunday,5,1405,Pizza,Fast Food,4,550,2200,19,4,15,5,Highly recommended,Positive,Card,Mirpur
10,2025-03-13,Thursday,3,1370,Fried Rice,Main Course,5,280,1400,23,5,18,3,Not worth the price,Negative,Card,Banani
11,2025-02-16,Sunday,2,1610,Burger,Fast Food,2,250,500,11,2,9,2,Nothing special,Neutral,Nagad,Banani
12,2025-11-02,Sunday,11,1698,Sandwich,Fast Food,5,220,1100,10,5,5,4,Average taste,Neutral,Bkash,Dhanmondi
13,2025-05-31,Saturday,5,1995,Juice,Beverage,3,150,450,22,3,19,3,Loved the food,Positive,Cash,Mirpur
14,2025-11-24,Monday,11,1552,Noodles,Main Course,4,260,1040,13,4,9,2,Very tasty and fresh,Positive,Bkash,Banani
15,2025-01-10,Friday,1,1899,Pizza,Fast Food,6,550,3300,20,6,14,2,Very tasty and fresh,Positive,Cash,Banani
16,2025-02-05,Wednesday,2,1169,Noodles,Main Course,3,260,780,12,3,9,4,Acceptable,Neutral,Nagad,Uttara
17,2025-10-04,Saturday,10,1448,Fried Rice,Main Course,5,280,1400,22,5,17,5,Too salty,Negative,Cash,Uttara
18,2025-04-26,Saturday,4,1602,Pizza,Fast Food,6,550,3300,11,6,5,3,Very tasty and fresh,Positive,Cash,Dhanmondi
19,2025-12-29,Monday,12,1072,Burger,Fast Food,4,250,1000,11,4,7,3,Too salty,Negative,Bkash,Banani
20,2025-04-20,Sunday,4,1826,Noodles,Main Course,3,260,780,23,3,20,5,Highly recommended,Positive,Card,Dhanmondi
21,2025-02-19,Wednesday,2,1689,Juice,Beverage,6,150,900,24,6,18,2,Excellent food and fast service,Positive,Cash,Banani
22,2025-06-23,Monday,6,1143,Pizza,Fast Food,4,550,2200,15,4,11,5,Highly recommended,Positive,Card,Mirpur
23,2025-08-25,Monday,8,1100,Fried Rice,Main Course,2,280,560,21,2,19,2,Bad experience,Negative,Cash,Dhanmondi
24,2025-05-02,Friday,5,1924,Biryani,Main Course,7,320,2240,27,7,20,2,Highly recommended,Positive,Card,Banani
25,2025-01-02,Thursday,1,1677,Juice,Beverage,5,150,750,24,5,19,5,Amazing quality,Positive,Card,Uttara
26,2025-06-01,Sunday,6,1051,Fried Rice,Main Course,1,280,280,7,1,6,5,Average taste,Neutral,Card,Dhanmondi
27,2025-09-18,Thursday,9,1413,Pizza,Fast Food,3,550,1650,10,3,7,2,Very tasty and fresh,Positive,Card,Dhanmondi
28,2025-11-14,Friday,11,1685,Pizza,Fast Food,7,550,3850,22,7,15,4,Delivery was late,Negative,Card,Mirpur
29,2025-07-22,Tuesday,7,1009,Biryani,Main Course,5,320,1600,24,5,19,5,Excellent food and fast service,Positive,Cash,Dhanmondi
30,2025-10-03,Friday,10,1900,Fried Rice,Main Course,5,280,1400,14,5,9,3,Food was cold,Negative,Bkash,Mirpur
